date,open,high,low,close,adj close,volume
2024-07-01,62673.61,65354.34,53717.38,65097.15,65097.15,480226424272.0
2024-06-01,67489.61,71907.85,58601.7,62678.29,62678.29,726773965644.0
2024-05-01,60609.5,71946.46,56555.29,67491.41,67491.41,874291509757.0
2024-04-01,71333.48,72715.36,59120.07,60636.86,60636.86,1016068331704.0
2024-03-01,61168.06,73750.07,59323.91,71333.65,71333.65,1446417844950.0
2024-02-01,42569.76,63913.13,41879.19,61198.38,61198.38,830721862621.0
2024-01-01,42280.23,48969.37,38521.89,42582.61,42582.61,825918941347.0
2023-12-01,37718.01,44705.52,37629.36,42265.19,42265.19,721704910480.0
2023-11-01,34657.27,38415.34,34133.44,37712.75,37712.75,570863267380.0
2023-10-01,26967.4,35150.43,26558.32,34667.78,34667.78,476425634860.0
2023-09-01,25934.02,27488.76,24930.3,26967.92,26967.92,337637313742.0
2023-08-01,29230.87,30176.8,25409.11,25931.47,25931.47,437724169499.0
2023-07-01,30471.85,31814.52,28934.29,29230.11,29230.11,382224489090.0
2023-06-01,27218.41,31389.54,24797.17,30477.25,30477.25,481734214225.0
2023-05-01,29227.1,29820.13,25878.43,27219.66,27219.66,443473015479.0
2023-04-01,28473.33,31005.61,27070.85,29268.81,29268.81,511540319004.0
2023-03-01,23150.93,29159.9,19628.25,28478.48,28478.48,883299703608.0
2023-02-01,23137.84,25134.12,21460.09,23147.35,23147.35,723968574897.0
2023-01-01,16547.91,23919.89,16521.23,23139.28,23139.28,690994018045.0
2022-12-01,17168.0,18318.53,16398.14,16547.5,16547.5,541356716034.0
2022-11-01,20494.9,21446.89,15599.05,17168.57,17168.57,1224531549126.0
2022-10-01,19431.11,20988.39,18319.82,20495.77,20495.77,957903424925.0
2022-09-01,20050.5,22673.82,18290.31,19431.79,19431.79,1123272250385.0
2022-08-01,23336.72,25135.59,19600.79,20049.76,20049.76,894192654543.0
2022-07-01,19820.47,24572.58,18966.95,23336.9,23336.9,927582363389.0
2022-06-01,31792.55,31957.29,17708.62,19784.73,19784.73,923939211678.0
2022-05-01,37713.27,39902.95,26350.49,31792.31,31792.31,1105689315990.0
2022-04-01,45554.16,47313.48,37697.94,37714.88,37714.88,830115888649.0
2022-03-01,43194.5,48086.84,37260.2,45538.68,45538.68,830943838435.0
2022-02-01,38481.77,45661.17,34459.22,43193.23,43193.23,671335993325.0
2022-01-01,46311.75,47881.41,33184.06,38483.13,38483.13,923979037681.0
2021-12-01,56907.96,59041.68,42874.62,46306.45,46306.45,957047184722.0
2021-11-01,61320.45,68789.63,53569.77,57005.43,57005.43,1053270271383.0
2021-10-01,43816.74,66930.39,43320.02,61318.96,61318.96,1153077903534.0
2021-09-01,47099.77,52853.77,39787.61,43790.89,43790.89,1102139678824.0
2021-08-01,41460.84,50482.08,37458.0,47166.69,47166.69,1014674184428.0
2021-07-01,35035.98,42235.55,29360.96,41626.2,41626.2,819103381204.0
2021-06-01,37293.79,41295.27,28893.62,35040.84,35040.84,1189647451707.0
2021-05-01,57714.66,59519.36,30681.5,37332.86,37332.86,1976593438572.0
2021-04-01,58926.56,64863.1,47159.48,57750.18,57750.18,1844481772417.0
2021-03-01,45159.5,61683.86,45115.09,58918.83,58918.83,1681184264687.0
2021-02-01,33114.58,58330.57,32384.23,45137.77,45137.77,2267152936675.0
2021-01-01,28994.01,41946.74,28722.76,33114.36,33114.36,2153473433571.0
2020-12-01,19633.77,29244.88,17619.53,29001.72,29001.72,1212259707946.0
2020-11-01,13781.0,19749.26,13243.16,19625.84,19625.84,1093144913227.0
2020-10-01,10795.25,14028.21,10416.69,13781.0,13781.0,1050874546086.0
2020-09-01,11679.32,12067.08,9916.49,10784.49,10784.49,1075949438431.0
2020-08-01,11322.57,12359.06,11012.42,11680.82,11680.82,708377092130.0
2020-07-01,9145.99,11415.86,8977.02,11323.47,11323.47,545813339109.0
2020-06-01,9463.61,10199.57,8975.53,9137.99,9137.99,650913318680.0
2020-05-01,8672.78,9996.74,8374.32,9461.06,9461.06,1286368141507.0
2020-04-01,6437.32,9440.65,6202.37,8658.55,8658.55,1156127164831.0
2020-03-01,8599.76,9167.7,4106.98,6438.64,6438.64,1290442059648.0
2020-02-01,9346.36,10457.63,8492.93,8599.51,8599.51,1163376492768.0
2020-01-01,7194.89,9553.13,6915.0,9350.53,9350.53,852872174496.0
2019-12-01,7571.62,7743.43,6540.05,7193.6,7193.6,633790373416.0
2019-11-01,9193.99,9505.05,6617.17,7569.63,7569.63,676919523650.0
2019-10-01,8299.72,10021.74,7446.99,9199.58,9199.58,595205134748.0
2019-09-01,9630.59,10898.76,7830.76,8293.87,8293.87,480544963230.0
2019-08-01,10077.44,12273.82,9421.63,9630.66,9630.66,533984971734.0
2019-07-01,10796.93,13129.53,9163.13,10085.63,10085.63,676416326705.0
2019-06-01,8573.84,13796.49,7564.49,10817.16,10817.16,675855385074.0
2019-05-01,5350.91,9008.31,5347.65,8574.5,8574.5,724157870864.0
2019-04-01,4105.36,5642.04,4096.9,5350.73,5350.73,445364556718.0
2019-03-01,3853.76,4296.81,3733.75,4105.4,4105.4,297952790260.0
2019-02-01,3460.55,4210.64,3391.02,3854.79,3854.79,199100675597.0
2019-01-01,3746.71,4109.02,3400.82,3457.79,3457.79,167335706864.0
2018-12-01,4024.46,4309.38,3191.3,3742.7,3742.7,168826809069.0
2018-11-01,6318.14,6552.16,3585.06,4017.27,4017.27,158359524484.0
2018-10-01,6619.85,6965.06,6236.47,6317.61,6317.61,118436880000.0
2018-09-01,7044.81,7388.43,6197.52,6625.56,6625.56,129745370000.0
2018-08-01,7769.04,7769.04,5971.05,7037.58,7037.58,132292770000.0
2018-07-01,6411.68,8424.27,6136.42,7780.44,7780.44,141441939792.0
2018-06-01,7500.7,7754.89,5826.41,6404.0,6404.0,130214179584.0
2018-05-01,9251.47,9964.5,7090.68,7494.17,7494.17,197611709696.0
2018-04-01,7003.06,9745.32,6526.87,9240.55,9240.55,196550010624.0
2018-03-01,10385.0,11704.1,6683.93,6973.53,6973.53,193751709184.0
2018-02-01,10237.3,11958.5,6048.26,10397.9,10397.9,229717780480.0
2018-01-01,14112.2,17712.4,9402.29,10221.1,10221.1,416247858176.0
2017-12-01,10198.6,20089.0,9694.65,14156.4,14156.4,410336495104.0
2017-11-01,6440.97,11517.4,5519.01,10233.6,10233.6,140735010304.0
2017-10-01,4341.05,6470.43,4164.05,6468.4,6468.4,58009357952.0
2017-09-01,4701.76,4975.04,2946.62,4338.71,4338.71,55700949056.0
