date,Open,High,Low,Close,Adj_Close,Volume
1991-03-01,6.09,6.09,5.74,5.74,5.74,
1991-04-01,5.76,5.77,5.51,5.51,5.51,
1991-05-01,5.54,5.54,5.4,5.53,5.53,
1991-06-01,5.6,5.62,5.54,5.54,5.54,
1991-07-01,5.58,5.61,5.53,5.53,5.53,
1991-08-01,5.55,5.55,5.11,5.33,5.33,
1991-09-01,5.34,5.34,5.11,5.11,5.11,
1991-10-01,5.1,5.1,4.82,4.82,4.82,
1991-11-01,4.75,4.76,4.35,4.35,4.35,
1991-12-01,4.38,4.38,3.74,3.88,3.88,
1992-01-01,3.86,3.86,3.72,3.84,3.84,
1992-02-01,3.84,3.96,3.73,3.93,3.93,
1992-03-01,4.03,4.08,4.01,4.05,4.05,
1992-04-01,4.01,4.02,3.62,3.7,3.7,
1992-05-01,3.63,3.74,3.54,3.7,3.7,
1992-06-01,3.75,3.75,3.57,3.57,3.57,
1992-07-01,3.55,3.55,3.16,3.18,3.18,
1992-08-01,3.17,3.17,3.06,3.16,3.16,
1992-09-01,3.15,3.15,2.69,2.69,2.69,
1992-10-01,2.61,3.02,2.61,2.96,2.96,
1992-11-01,3.01,3.27,3.01,3.27,3.27,
1992-12-01,3.33,3.34,3.08,3.08,3.08,
1993-01-01,3.08,3.12,2.9,2.9,2.9,
1993-02-01,2.9,2.96,2.89,2.95,2.95,
1993-03-01,2.95,3.0,2.89,2.89,2.89,
1993-04-01,2.9,2.92,2.79,2.91,2.91,
1993-05-01,2.87,3.07,2.86,3.06,3.06,
1993-06-01,3.04,3.13,3.03,3.03,3.03,
1993-07-01,2.99,3.1,2.95,3.03,3.03,
1993-08-01,3.07,3.08,2.98,3.01,3.01,
1993-09-01,3.01,3.01,2.9,2.92,2.92,
1993-10-01,2.92,3.09,2.92,3.03,3.03,
1993-11-01,3.05,3.15,3.03,3.14,3.14,
1993-12-01,3.14,3.14,2.98,3.0,3.0,
1994-01-01,3.01,3.09,2.91,2.97,2.97,
1994-02-01,3.02,3.44,3.02,3.36,3.36,
1994-03-01,3.39,3.63,3.39,3.47,3.47,
